[2026-07-10 14:17:21] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:17:21] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:42:54] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:42:54] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:42:57] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:42:57] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app | Logging system initialised — writing WARNING+ to logs/application.log
[2026-07-10 14:46:37] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Ignored `box-shadow: none` at 271:55, unknown property.
[2026-07-10 14:46:38] ERROR | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Relative URI reference without a base URI: <img src="None">
[2026-07-10 14:47:37] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Ignored `box-shadow: none` at 258:55, unknown property.
[2026-07-10 14:47:37] ERROR | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Relative URI reference without a base URI: <img src="None">
[2026-07-10 14:49:34] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app.services.report_card_service | No marks for student=144 term=5 exam=EOT — empty report will be generated.
[2026-07-10 14:49:34] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | app.services.report_card_service | No marks for student=144 term=5 exam=EOT — empty report will be generated.
[2026-07-10 14:49:35] WARNING | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Ignored `box-shadow: none` at 321:9, unknown property.
[2026-07-10 14:49:35] ERROR | NO_REQUEST NO_REQUEST | IP=- | USER=- | weasyprint | Relative URI reference without a base URI: <img src="None">
